trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
178,False,"{'a': 0.5042000000000018, 'e': 0.04026533774505517}",20,9,18.759688966831742,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5031000000000018, 'e': 0.03982427725279845}",20,9,17.208903758727608,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5020000000000018, 'e': 0.03939114296804941}",30,16,27.70855278171218,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5009000000000018, 'e': 0.0389657809878094}",20,10,-3.487134040007719,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
182,False,"{'a': 0.4998000000000018, 'e': 0.038548040899183116}",25,0,22.758857206445665,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
183,False,"{'a': 0.4987000000000018, 'e': 0.03813777569467045}",20,5,13.156911583000618,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.4976000000000018, 'e': 0.037734841689700385}",20,10,19.522278225175672,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.49650000000000183, 'e': 0.0373390984423442}",20,4,30.07837468486874,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.49540000000000184, 'e': 0.03695040867514771}",20,8,20.659741896512003,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.49430000000000185, 'e': 0.03656863819902264}",20,9,19.49989721913838,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.49320000000000186, 'e': 0.036193655839140505}",30,14,12.431688456384245,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
189,False,"{'a': 0.49210000000000187, 'e': 0.03582533336277314}",25,16,14.595477228979373,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.4910000000000019, 'e': 0.03546354540902587}",30,16,24.51614587981752,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.4899000000000019, 'e': 0.03510816942041116}",25,13,20.506075857351455,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.4888000000000019, 'e': 0.03475908557621167}",25,0,22.12866470085066,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
193,False,"{'a': 0.4877000000000019, 'e': 0.034416176727583535}",20,0,21.770220722352462,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
194,False,"{'a': 0.4866000000000019, 'e': 0.03407932833435197}",20,12,13.771278389251389,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
